distance,dg,dg.ctrl,amppcp,amppcp.ctrl,mannose.ctrl,mannose,lg.ctrl,lg
0,28,35,94.6667,90.3333,120.3333333,116.5,34,30.6667
1.8884,29.5,39,102.667,96.3333,140.6666667,119.1666667,34.6667,37
3.7768,30.5,40,123.333,93.6667,156.5,121.8333333,40,40.3333
5.6652,31,40,128.333,109.333,156.8333333,125.6666667,40.6667,45.3333
7.5535,32,40,128.667,116.667,161.8333333,126.5,45.3333,41.3333
9.4419,32.5,41,129,129.333,163.8333333,134,44.3333,50
11.3303,33,41,132.667,139,165.6666667,139.1666667,46.3333,48
13.2187,33.5,42,138,129.667,155,131,48.6667,44.6667
15.1071,35,43,127.333,140.333,154.6666667,137.1666667,50.3333,49.3333
16.9955,35.5,43,122.333,145.667,152,138.1666667,50.3333,42
18.8839,34.5,42,132.333,146.333,154,133.6666667,44.6667,49
20.7723,33,42,115.333,148.333,166.6666667,133.3333333,48.6667,49.3333
22.6606,33,43,134,145.667,168.5,137.6666667,48.3333,50
24.549,35,44,131,145.333,162.6666667,140.3333333,48,53
26.4374,36,44,127.667,147.333,163.3333333,130.3333333,52.6667,52
28.3258,36,44,124.667,150.333,161.5,133.6666667,52,51.3333
30.2142,37,45,124.333,147.667,168.1666667,143.3333333,52.3333,53.3333
32.1026,37,45,127,140,182.6666667,145.3333333,51.6667,52.3333
33.991,35.5,46,146,137,177.6666667,152,50,53.3333
35.8794,36,46,154.333,143,179.6666667,143.1666667,50,54.3333
37.7677,36.5,47,157.333,143.333,182.6666667,133.3333333,51.3333,54.3333
39.6561,36,47,157.667,142.667,181.1666667,137.6666667,50.3333,50
41.5445,36,47,149.667,142.667,184.6666667,157.6666667,50,55.6667
43.4329,36,47,150,149.667,189,155.3333333,51.3333,53.3333
45.3213,36,47,143,145,184.3333333,151.1666667,51.3333,54.3333
47.2097,36,46,147,143.667,181.8333333,162.1666667,49,54.3333
49.0981,36.5,46,151.667,146.667,185.8333333,161,51.3333,52.6667
50.9865,37,46,148.667,149.333,185.6666667,168,49.6667,54
52.8748,38,46,144.333,146,178.6666667,164.1666667,50.3333,53.6667
54.7632,39,46,147,143.667,182.5,168.6666667,48.3333,52.6667
56.6516,38.5,46,143.667,145,178,166.1666667,50,52.3333
58.54,38.5,45,158,150.667,182.8333333,175.1666667,50.3333,51.6667
60.4284,39,46,160.667,147,177.3333333,162,48,51.3333
62.3168,38.5,47,160.333,140,170.1666667,155.1666667,49.3333,51.3333
64.2052,39,47,164.333,146.333,191.8333333,159.8333333,45.3333,47.6667
66.0936,40,48,164.333,147.667,197.3333333,168.8333333,48.6667,52
67.9819,39,48,161.667,144.333,197,162.6666667,49.6667,53
69.8703,38.5,48,155.667,138.333,192.5,170.3333333,49.6667,53.3333
71.7587,39.5,48,156.667,144.333,189.3333333,170.8333333,49,54
73.6471,42,49,164.333,153.333,190.3333333,164.1666667,51.3333,54
75.5355,44.5,49,157,154.333,186.5,165.8333333,50.3333,54
77.4239,43.5,50,157.667,152.333,186.5,164.8333333,49.3333,52.6667
79.3123,42.5,49,153,152.333,187.3333333,174.3333333,51,50.3333
81.2006,43,48,145.333,155.667,188.8333333,161.5,49.3333,48.3333
83.089,42.5,49,153.667,156,193,167.6666667,49,51.3333
84.9774,44,49,162.333,158.333,197.6666667,178.3333333,47,50
86.8658,45.5,49,165,157.333,195,176.6666667,50.6667,47
88.7542,46,49,164.333,156,191.8333333,178.6666667,49,52.3333
90.6426,47.5,50,165,158.333,192.6666667,173.6666667,52,49.3333
92.531,47.5,50,168.333,157.333,178,168.3333333,51,55
94.4194,48,50,158,157.333,177.3333333,172,51,56
96.3077,48.5,51,149,159.667,191.1666667,173.1666667,49.6667,57.3333
98.1961,48.5,52,150.667,161.667,190.1666667,177.3333333,51,55.6667
100.0845,50.5,52,160.333,161,186.1666667,187.6666667,51,51
101.9729,52.5,52,158,162.667,190,189.3333333,52.6667,51.3333
103.8613,52.5,51,156,162.667,192.1666667,191.5,52,53.6667
105.7497,52.5,53,153,162,188.3333333,183.5,52.3333,56.6667
107.6381,53.5,52,149,160,193.1666667,185.8333333,51.6667,55
109.5265,55,53,154.667,162,196.6666667,188,52.3333,55.3333
111.4148,56,53,168,160.667,190.5,180.1666667,53,57
113.3032,56,52,170,159.333,187.5,180.8333333,53.6667,54.6667
115.1916,56.5,54,162.667,161,189.6666667,175.1666667,52.6667,51
117.08,56.5,54,169,161.333,189.3333333,189.3333333,52.6667,50
118.9684,56.5,54,173.333,165,188.5,187.5,52.3333,52.3333
120.8568,57,55,175.333,176.667,188,174.3333333,53.6667,52.6667
122.7452,56.5,55,167.333,175.333,187.5,183.1666667,52,48
124.6336,56,54,164.333,175.667,187.6666667,192.6666667,56,52
126.5219,58,55,168.333,176,187.6666667,196,52.3333,50.6667
128.4103,60.5,56,168.333,170,189.8333333,196.3333333,54.3333,53
130.2987,62,55,174.667,173.333,192,189.3333333,54.3333,52.6667
132.1871,64,56,176.333,171,195.3333333,192.8333333,50.6667,49.3333
134.0755,66,55,178.667,167.333,199,203.8333333,52.3333,53
135.9639,67,56,179.333,166.333,193.1666667,196.8333333,54.3333,51
137.8523,65.5,56,177.333,165.667,197.1666667,201.3333333,51,53.3333
139.7406,65,56,176,169.333,178.8333333,206,55.6667,52.3333
141.629,67.5,56,178.333,168.667,171.6666667,206,54.3333,53.3333
143.5174,68.5,56,178.667,167,176.3333333,209,53.3333,48.6667
145.4058,67.5,56,177.333,165,181.6666667,207.8333333,51.3333,51.6667
147.2942,68.5,55,170,173.333,185.8333333,209,50.6667,51
149.1826,68,55,174,174.333,179,211.8333333,50.6667,48.3333
151.071,67,55,170,168,184,212,49.6667,47.3333
152.9594,68.5,54,171,166.333,188.1666667,211.8333333,49,47.6667
154.8477,71,53,172,171,189.1666667,211.6666667,50.3333,50
156.7361,71.5,55,161.667,172.333,185,207.5,49.3333,50
158.6245,72,56,162,170,185.8333333,208,51.3333,53.3333
160.5129,73.5,55,170.667,172.667,189.6666667,207.1666667,53.3333,52
162.4013,74,54,171.667,173.667,191.8333333,206.6666667,54.3333,59.3333
164.2897,73,56,171.667,177,192.3333333,200.3333333,56,59
166.1781,72,56,168,170.667,187.6666667,194,56,57
168.0665,72.5,56,165,174.333,184,196.1666667,56,57.6667
169.9548,73.5,56,165,173.667,187.1666667,196.5,55.6667,57.6667
171.8432,71,56,167,174.667,186.5,196.1666667,54.3333,58.3333
173.7316,65.5,56,173,170.667,185.3333333,195.5,53.3333,56.6667
175.62,66,55,158.333,171,186.3333333,198.5,52.3333,58
177.5084,68.5,56,174.667,170.333,183.6666667,202.1666667,50.3333,53.6667
179.3968,69.5,56,173,168.667,186,200.1666667,50.3333,53.3333
181.2852,69.5,55,168,165.667,187,193.6666667,51,53
183.1736,67.5,54,171,166,185.8333333,189.6666667,47.6667,51.6667
185.0619,67.5,54,172.667,171,184.5,187.5,48.6667,54
186.9503,64.5,54,174.333,167.667,184,186.8333333,49.6667,54.3333
188.8387,61.5,54,167.333,165.333,188.6666667,188,51.3333,51.6667
190.7271,62.5,53,171.667,163,187.6666667,187.8333333,52,55
192.6155,61.5,54,168.667,169,191.5,187.5,50.6667,51.6667
194.5039,61,54,170.333,167,195.3333333,184.5,50.6667,51.3333
196.3923,60,54,172.667,164.667,196,180.3333333,49,49.6667
198.2806,59,54,168.333,166.333,195.5,182.6666667,52,48.6667
200.169,61,55,169.333,168.333,190.1666667,183.8333333,51,51.3333
202.0574,60,53,169.667,164.667,193.1666667,185.8333333,50.6667,53
203.9458,56.5,54,167.667,161.667,195.1666667,192.1666667,52.6667,53.6667
205.8342,56.5,53,168.667,166,188.5,183.5,51,51
207.7226,56,52,163.333,167.333,172.8333333,176.6666667,51.6667,55
209.611,54,53,166.333,162,167.8333333,184.6666667,53.3333,51.3333
211.4994,54,52,167.667,162.333,181.1666667,187.6666667,52,53
213.3877,54.5,53,165.333,165.333,184.1666667,187.5,51.6667,51.3333
215.2761,53.5,52,163.333,165,177.6666667,189.6666667,51.6667,51.3333
217.1645,53,52,164,161,169.8333333,188,48.6667,51.3333
219.0529,52,52,160.333,161.333,170,181.3333333,48.3333,48.3333
220.9413,51,52,160.333,158.667,176.3333333,182.1666667,48.6667,50.3333
222.8297,49,52,161,159.667,175.1666667,182.6666667,48,52
224.7181,48.5,51,162,154,172.8333333,183.8333333,49.6667,48.3333
226.6065,48.5,50,160.333,158.667,175.1666667,182.1666667,48.3333,49.6667
228.4948,47,52,163.667,156.667,180,186.6666667,50,49.6667
230.3832,47,50,161.333,152,173.8333333,186.8333333,47.6667,47
232.2716,46,50,163.667,153.333,165.8333333,187.3333333,48.6667,50.3333
234.16,45.5,49,159,151.667,169.5,179.6666667,49.6667,50.6667
236.0484,45.5,49,152.667,154.667,171.5,189.5,47,50
237.9368,44.5,50,160,151.667,168.3333333,189.1666667,47.3333,50
239.8252,44,49,158.333,151.667,168.3333333,182.1666667,47.6667,48
241.7135,44,50,154,146.667,165.8333333,171.3333333,47,46.6667
243.6019,44,49,135.333,151,162.8333333,167.1666667,50,50
245.4903,45,49,153.333,151.667,167.1666667,169.8333333,46.3333,47.6667
247.3787,45,48,154.333,147,161.6666667,166.8333333,46.3333,48
249.2671,43.5,48,150.667,144.667,161.5,159.5,48.3333,49
251.1555,42.5,48,138.333,144.667,172,154.3333333,47,48.3333
253.0439,41,48,148.667,143.667,166.5,152.6666667,46,49.6667
254.9323,40.5,48,149.333,142.333,159.3333333,153.5,47,48
256.8206,41,49,150.667,139.667,164.8333333,154,45.3333,48
258.709,40.5,49,147.667,137.333,165.5,157,46,45
260.5974,39.5,49,148,139.667,163.5,153.1666667,48.3333,42.6667
262.4858,40,48,150.333,142,164,149.8333333,46,49.6667
264.3742,40,48,153.667,139,157,155.5,43.6667,48
266.2626,39.5,47,150,135,155.1666667,149.1666667,44.3333,45.3333
268.151,39.5,47,148,133,158.1666667,147.6666667,45.6667,45
270.0394,38.5,47,150,146.333,164,151.3333333,47,46
271.9277,39,47,144,134.667,169.5,147.6666667,45,46.3333
273.8161,41,46,140,137.333,164.5,136.6666667,45,45
275.7045,40,47,138,138.667,167.5,141.5,44.3333,49.6667
277.5929,40.5,46,140.667,142.333,170.5,130.3333333,41.6667,48.6667
279.4813,42,46,138.333,139.333,168.1666667,142.8333333,44.3333,48.3333
281.3697,41,46,138,135.333,170.3333333,143.3333333,44.6667,49
283.2581,41.5,47,138.667,135,152.3333333,139.8333333,43,47.6667
285.1465,41,46,134.667,133.667,151.8333333,137.6666667,42.6667,37
287.0349,40,48,131.667,136,154.8333333,138.6666667,43.3333,45.6667
288.9232,41,45,120.667,134,148.6666667,137.8333333,43,44.3333
290.8116,40,47,120.667,135,144.5,139.5,41.3333,42.3333
292.7,37,49,120.667,134.333,146.6666667,139.5,40.3333,44.3333
294.5884,37,49,123.667,137.667,154.6666667,135.8333333,40.3333,42.6667
296.4768,36.5,46,125,133.667,152.8333333,133.3333333,39,42.3333
