,channel,Substrate,Experiment,orig,smooth,lo,hi
1,left,dg,ctrl,0.00281201303164193,0.00280289160897965,0.00267198510067827,0.00296772203304563
2,left,dg,substrate,0.00246996698738721,0.00248207125127704,0.00233982788458252,0.00266365114835194
3,left,mannose,ctrl,0.00312371820534112,0.00312649142778616,0.00301135939490342,0.00324996012255379
4,left,mannose,substrate,0.0028176179423683,0.00281688177765887,0.0026998659452002,0.00295374728047667
5,left,lg,ctrl,0.00310437815598909,0.00310193887937755,0.0029801128731131,0.00324965823458859
6,left,lg,substrate,0.00314635880614365,0.0031378437238286,0.00301375081297372,0.00329616507520134
7,left,amppcp,ctrl,0.00292876442262347,0.00291638520586635,0.00276621291461758,0.00308787056544856
8,left,amppcp,substrate,0.00295222546521789,0.00294705377411499,0.00281282775853212,0.00310353250879372
9,center,dg,ctrl,0.00425582049744471,0.00425549916266291,0.00407994172192094,0.00447736046263231
10,center,dg,substrate,0.00478038648992548,0.00477973643700923,0.00451328463188495,0.00510871130142805
11,center,mannose,ctrl,0.00398170889151928,0.0039863012442803,0.00386003492962616,0.00413339061583058
12,center,mannose,substrate,0.00427616019560634,0.00427448938899945,0.00409406146427757,0.00447872034338561
13,center,lg,ctrl,0.00400485334001274,0.004003058734532,0.0038644457335789,0.00417233741412407
14,center,lg,substrate,0.00395084342717919,0.00395526293780257,0.00381671187203602,0.00412927363757759
15,center,amppcp,ctrl,0.00412903088505462,0.00412657307091502,0.00394916457499858,0.00433712346751474
16,center,amppcp,substrate,0.00413712647988701,0.00414888840903399,0.00398785663069108,0.00435187499515871
17,right,dg,ctrl,0.00262616518349737,0.00262344431964893,0.00250578697454912,0.0027548839980458
18,right,dg,substrate,0.00228192838818917,0.00227635020044296,0.00213656104759335,0.0024439362105757
19,right,mannose,ctrl,0.00264218043417891,0.00264883789526684,0.00255776685387464,0.00275060181201887
20,right,mannose,substrate,0.00262377911500723,0.00262513298994864,0.00250742179473022,0.00275282379944475
21,right,lg,ctrl,0.00262872994518357,0.00263628190852393,0.00254315287770041,0.00274472148298838
22,right,lg,substrate,0.00265462932275573,0.00265630498312115,0.00256136724302445,0.00276816764949115
23,right,amppcp,ctrl,0.00268408789892088,0.00269334613985888,0.00258059256947169,0.00282670953705429
24,right,amppcp,substrate,0.00265678248058464,0.00265849529041931,0.00254923674632017,0.00279047230984281
