"","channel","Substrate","Experiment","orig","smooth","lo","hi"
"1","left","dg","ctrl",46.685307049777,47.0500966000247,45.0686402656748,49.035299157153
"2","left","dg","substrate",31.908047930652,32.6922006075481,30.5947388734601,35.3225806202339
"3","left","mannose","ctrl",64.1244501035557,63.6730077102846,60.4547173455,66.5944275446323
"4","left","mannose","substrate",44.5011759419349,44.5295722581078,42.0169357758225,47.0872538301357
"5","left","lg","ctrl",63.0491629744817,62.9196447161864,58.0602021724785,67.9118744840277
"6","left","lg","substrate",65.1296607600054,64.2846182034217,59.9272154674621,68.8020849484813
"7","left","amppcp","ctrl",54.1962259073788,53.905753131358,50.2510299014149,57.779954042088
"8","left","amppcp","substrate",54.7973358601033,54.1318949296432,50.7906450475239,57.384446552129
"9","center","dg","ctrl",100.634586699956,100,98.4968140407055,101.407178779156
"10","center","dg","substrate",129.757427107443,128.621294548914,124.505804045901,132.679148226476
"11","center","mannose","ctrl",91.2651477053016,90.9768923368404,88.241606320974,93.6385950388905
"12","center","mannose","substrate",111.877284697219,112.191121889153,108.431173673417,115.839451335932
"13","center","lg","ctrl",93.8286721695967,92.9370704110963,89.7770102781266,96.0329336337425
"14","center","lg","substrate",86.8738492368481,86.6803133315505,83.0811899076584,90.1466094447134
"15","center","amppcp","ctrl",95.7531730603262,95.2914225521789,93.8879707616828,96.7399700733439
"16","center","amppcp","substrate",97.2764200677696,97.3568703790488,95.0450907339752,99.5909511847942
"17","right","dg","ctrl",51.4191318904887,52.0291185730016,50.4385260261898,53.7990670088755
"18","right","dg","substrate",37.0735506021267,38.029504817867,35.3599313433627,41.7454746621092
"19","right","mannose","ctrl",43.3494278313649,43.924635622593,41.5583987048811,46.5732837049596
"20","right","mannose","substrate",42.3605650010687,42.03773724652,39.1312731564395,44.8197974976013
"21","right","lg","ctrl",41.8611904961438,41.9246934091711,40.1111917254341,43.7288936305521
"22","right","lg","substrate",46.7355156433687,46.7842288975164,44.6333455483698,49.0062433673629
"23","right","amppcp","ctrl",48.7896266725172,49.5167168235316,48.3350036179728,50.6535256608174
"24","right","amppcp","substrate",46.6652697123492,46.5413995687252,44.7580717653517,48.2454972823615
