,channel,Substrate,Experiment,orig,smooth,lo,hi
1,left,dg,ctrl,0.00281340956583796,0.00280587164596728,0.00267837912709921,0.0029660378189906
2,left,dg,substrate,0.00246504344607631,0.00247718544213119,0.00232484395069745,0.00263063552477125
3,left,mannose,ctrl,0.00311756310197865,0.00311895405164667,0.00300147237089148,0.00323869136816572
4,left,mannose,substrate,0.00281309019939776,0.00281023690715529,0.0026934392500809,0.00293438810790718
5,left,lg,ctrl,0.00310331535304225,0.0030974348941297,0.00296626258184713,0.00324341500916713
6,left,lg,substrate,0.00315242162659039,0.00314410102398824,0.00301429341371066,0.00329389037527412
7,left,amppcp,ctrl,0.00292105629061157,0.00290895089671075,0.00277178108828542,0.00308395426815068
8,left,amppcp,substrate,0.00294457661337217,0.00294093484451357,0.00282239530537589,0.00309308612145859
9,center,dg,ctrl,0.00425737110503175,0.0042577145641259,0.00407900532481754,0.00446799989165733
10,center,dg,substrate,0.00477091913401665,0.00477187213065016,0.00447521606253744,0.00507299923321024
11,center,mannose,ctrl,0.00397359182172666,0.00397853130934117,0.00384528792188892,0.00412232779218264
12,center,mannose,substrate,0.00426981221700274,0.00426768889962782,0.00407668530630368,0.00445142542139017
13,center,lg,ctrl,0.0040031486243921,0.00400153317869986,0.00386621771030238,0.00417385979765209
14,center,lg,substrate,0.00395619732987701,0.0039592814903328,0.00382126155833435,0.00411899310902376
15,center,amppcp,ctrl,0.00411987037656515,0.0041180831115804,0.00397141997222939,0.00430540184587901
16,center,amppcp,substrate,0.0041273972430944,0.00413746789977773,0.00398036362593773,0.00432132796839354
17,right,dg,ctrl,0.00262723349058464,0.00262334965889241,0.00251061584531631,0.00276474059552713
18,right,dg,substrate,0.00227697627333474,0.002270172402431,0.00212047944665125,0.00243190983222723
19,right,mannose,ctrl,0.00263580217417663,0.00263969839922979,0.00254607656175023,0.00273042352434522
20,right,mannose,substrate,0.0026195024588447,0.00262024683995151,0.0025073468238599,0.00273572830663042
21,right,lg,ctrl,0.0026286390643688,0.00263795480911213,0.00254030296797998,0.00274875953758194
22,right,lg,substrate,0.00265975729238093,0.0026600621221817,0.00256413002096943,0.00276929511851267
23,right,amppcp,ctrl,0.00267567129195771,0.0026855296607935,0.00258622101460999,0.00281819400893209
24,right,amppcp,substrate,0.00264897243465571,0.00265101815911059,0.00255659550153011,0.00276793947942633
