Distance,A,B,C
0,0,0,0
1.8895,0,0,0
3.7791,0,0,0
5.6686,0,0,0
7.5581,0,0,0
9.4477,0,0,0
11.3372,0,0,0
13.2267,0,0,0
15.1163,0,0,0
17.0058,0,0,0
18.8953,0,0,0
20.7849,0,0,0
22.6744,0,0,0
24.564,0,0,0
26.4535,0,0,0
28.343,0,0,0
30.2326,0,0,0
32.1221,0,0,0
34.0116,0,0,0
35.9012,0,0,0
37.7907,0,0,0
39.6802,0,0,0
41.5698,0,0,0
43.4593,0,0,0
45.3488,0,0,0
47.2384,0,0,0
49.1279,0,0,0
51.0174,0,0,0
52.907,0,0,0
54.7965,0,0,0
56.686,0,0,0
58.5756,0,0,0
60.4651,0,0,0
62.3547,0,0,0
64.2442,0,0,0
66.1337,0,0,0
68.0233,0,0,0
69.9128,0,0,0
71.8023,0,0,0
73.6919,0,0,0
75.5814,0,0,0
77.4709,0,0,0
79.3605,0,0,0
81.25,0,0,0
83.1395,0,0,0
85.0291,0,0,0.046511639
86.9186,0,0,0.069767458
88.8081,0,0.034883729,0.104651187
90.6977,0.072289174,0.104651187,0.127907006
92.5872,0.120481957,0.139534916,0.162790736
94.4767,0.144578348,0.174418645,0.186046555
96.3663,0.192771131,0.197674465,0.220930284
98.2558,0.240963913,0.255814013,0.244186103
100.1453,0.289156696,0.313953561,0.302325652
102.0349,0.313253088,0.3604652,0.337209381
103.9244,0.385542262,0.37209311,0.406976839
105.814,0.433735044,0.395348929,0.453488478
107.7035,0.481927827,0.430232658,0.5
109.593,0.53012061,0.511628026,0.569767574
111.4826,0.602409784,0.558139665,0.604651303
113.3721,0.638554371,0.581395484,0.639535032
115.2616,0.650602566,0.639535032,0.686046671
117.1512,0.698795349,0.674418761,0.74418622
119.0407,0.746988132,0.7209304,0.755814129
120.9302,0.771084523,0.755814129,0.790697858
122.8198,0.831325502,0.813953678,0.825581587
124.7093,0.867470089,0.848837407,0.860465316
126.5988,0.89156648,0.848837407,0.872093226
128.4884,0.939759263,0.872093226,0.906976955
130.3779,0.963855654,0.872093226,0.930232774
132.2674,0.97590385,0.883721136,0.930232774
134.157,0.97590385,0.941860684,0.953488594
136.0465,0.963855654,0.976744413,0.953488594
137.9361,0.97590385,0.976744413,0.988372323
139.8256,0.963855654,0.965116504,0.988372323
141.7151,0.951807458,0.976744413,0.976744413
143.6046,0.963855654,0.976744413,0.976744413
145.4942,0.963855654,0.976744413,0.988372323
147.3837,0.963855654,0.965116504,0.988372323
149.2733,0.951807458,0.965116504,0.988372323
151.1628,0.939759263,1,0.988372323
153.0523,0.939759263,0.988372323,0.976744413
154.9419,0.987952045,0.988372323,0.976744413
156.8314,0.963855654,0.988372323,0.953488594
158.7209,0.97590385,0.965116504,0.941860684
160.6105,1,0.965116504,0.930232774
162.5,0.987952045,0.953488594,0.941860684
164.3895,0.97590385,0.953488594,0.941860684
166.2791,0.951807458,0.953488594,0.941860684
168.1686,0.963855654,0.965116504,0.930232774
170.0581,0.951807458,0.941860684,0.930232774
171.9477,0.97590385,0.930232774,0.906976955
173.8372,0.97590385,0.918604865,0.918604865
175.7267,0.951807458,0.930232774,0.930232774
177.6163,0.97590385,0.918604865,0.941860684
179.5058,0.97590385,0.906976955,0.930232774
181.3954,0.951807458,0.906976955,0.930232774
183.2849,0.927711067,0.883721136,0.918604865
185.1744,0.939759263,0.883721136,0.918604865
187.0639,0.939759263,0.860465316,0.930232774
188.9535,0.915662871,0.872093226,0.930232774
190.843,0.915662871,0.860465316,0.930232774
192.7326,0.89156648,0.860465316,0.918604865
194.6221,0.867470089,0.848837407,0.918604865
196.5116,0.89156648,0.837209497,0.906976955
198.4012,0.867470089,0.802325768,0.883721136
200.2907,0.819277306,0.790697858,0.872093226
202.1802,0.795180915,0.779069949,0.872093226
204.0698,0.771084523,0.767442039,0.860465316
205.9593,0.72289174,0.73255831,0.837209497
207.8488,0.698795349,0.7209304,0.767442039
209.7384,0.650602566,0.674418761,0.767442039
211.6279,0.602409784,0.639535032,0.709302491
213.5174,0.542168805,0.616279213,0.686046671
215.407,0.481927827,0.604651303,0.662790852
217.2965,0.337349479,0.569767574,0.627907123
219.1861,0.313253088,0.523255936,0.604651303
221.0756,0.265060305,0.465116387,0.558139665
222.9651,0.216867522,0.441860568,0.534883845
224.8546,0.168674739,0.37209311,0.476744297
226.7442,0.120481957,0.337209381,0.453488478
228.6337,0.072289174,0.267441923,0.441860568
230.5233,0.024096391,0.209302374,0.37209311
232.4128,0,0.186046555,0.337209381
234.3023,0,0.151162826,0.302325652
236.1919,0,0.116279097,0.290697742
238.0814,0,0.093023277,0.279069832
239.9709,0,0.046511639,0.232558194
241.8605,0,0.023255819,0.220930284
243.75,0,0,0.174418645
245.6395,0,0,0.151162826
247.5291,0,0,0.127907006
249.4186,0,0,0.093023277
251.3081,0,0,0.058139548
253.1977,0,0,0.023255819
255.0872,0,0,0
256.9767,0,0,0
258.8663,0,0,0
260.7558,0,0,0
262.6454,0,0,0
264.5349,0,0,0
266.4244,0,0,0
268.314,0,0,0
270.2035,0,0,0
272.093,0,0,0
273.9825,0,0,0
275.8721,0,0,0
277.7616,0,0,0
279.6512,0,0,0
281.5407,0,0,0
283.4302,0,0,0
285.3198,0,0,0
287.2093,0,0,0
289.0988,0,0,0
290.9884,0,0,0
292.8779,0,0,0
294.7675,0,0,0
296.657,0,0,0
298.5465,0,0,0
300.436,0,0,0
302.3256,0,0,0
304.2151,0,0,0
306.1046,0,0,0
307.9942,0,0,0
309.8837,0,0,0
311.7733,0,0,0
313.6628,0,0,0
315.5523,0,0,0
317.4419,0,0,0
319.3314,0,0,0
321.2209,0,0,0
