Distance,Buffer,D-Glucose,L-Glucose,Mannose,Replicate
0,2,1,3,2,A
1.8884,2,1,3,2,A
3.7768,2,1,3,2,A
5.6652,2,1,3,2,A
7.5535,2,1,3,2,A
9.4419,2,1,3,2,A
11.3303,2,1,3,2,A
13.2187,2,1,3,2,A
15.1071,2,1,3,2,A
16.9955,2,1,3,2,A
18.8839,2,1,3,2,A
20.7723,2,1,3,2,A
22.6606,2,1,3,2,A
24.549,2,1,3,2,A
26.4374,2,1,3,2,A
28.3258,2,1,3,2,A
30.2142,2,1,3,2,A
32.1026,2,1,3,2,A
33.991,2,1,3,2,A
35.8794,2,1,3,2,A
37.7677,2,1,3,2,A
39.6561,2,1,3,2,A
41.5445,2,1,3,2,A
43.4329,2,1,3,2,A
45.3213,2,1,3,2,A
47.2097,2,1.5,3,2,A
49.0981,2,2,3,2,A
50.9865,2,2,3,2,A
52.8748,2,2,3,2,A
54.7632,2,2.5,3,3,A
56.6516,2,3,3,3,A
58.54,2,3.5,3,4,A
60.4284,2,3.5,3.5,3,A
62.3168,2,3,4,3,A
64.2052,3,3,4,4,A
66.0936,3,3,4,3,A
67.9819,3,3,4.5,4,A
69.8703,3,3,4.5,4,A
71.7587,4,3.5,4.5,4,A
73.6471,4,4,4.5,5,A
75.5355,5,4,4,5,A
77.4239,4,4,4.5,5,A
79.3123,4,4,5,5,A
81.2006,4,4.5,5.5,6,A
83.089,5,5,6,5,A
84.9774,6,5,6.5,6,A
86.8658,6,6,7,7,A
88.7542,7,6.5,7.5,7,A
90.6426,7,6.5,8,8,A
92.531,8,7.5,8.5,8,A
94.4194,8,8,9.5,9,A
96.3077,9,7.5,10.5,10,A
98.1961,9,8,11,10,A
100.0845,11,8.5,11.5,11,A
101.9729,11,9.5,12.5,12,A
103.8613,12,10.5,13,13,A
105.7497,13,11.5,14,14,A
107.6381,14,12,15.5,15,A
109.5265,16,12.5,16.5,16,A
111.4148,17,13.5,17.5,17,A
113.3032,18,14.5,18.5,19,A
115.1916,18,14.5,19.5,19,A
117.08,20,15.5,21,20,A
118.9684,21,17,22.5,22,A
120.8568,22,18,23.5,22,A
122.7452,25,20,24.5,25,A
124.6336,26,21,25,26,A
126.5219,27,22,25.5,28,A
128.4103,29,24,27.5,28,A
130.2987,29,25,29,29,A
132.1871,31,25.5,29.5,31,A
134.0755,32,26,30.5,31,A
135.9639,32,26.5,32,33,A
137.8523,33,27.5,33.5,34,A
139.7406,34,28.5,34,34,A
141.629,37,29.5,35,35,A
143.5174,36,30.5,35,36,A
145.4058,37,31.5,35.5,38,A
147.2942,38,32,36.5,37,A
149.1826,39,32,36.5,38,A
151.071,39,32.5,37,39,A
152.9594,39,33,37.5,39,A
154.8477,40,34,38,40,A
156.7361,39,34.5,38.5,40,A
158.6245,39,34,39,40,A
160.5129,40,34,39,40,A
162.4013,40,34.5,39,40,A
164.2897,40,35,39,40,A
166.1781,39,35.5,39,40,A
168.0665,40,36,39,41,A
169.9548,39,36,38.5,40,A
171.8432,39,35,38,40,A
173.7316,38,35,37.5,39,A
175.62,38,35,37,38,A
177.5084,39,34,36,39,A
179.3968,36,33.5,35,39,A
181.2852,37,34,35,38,A
183.1736,36,34.5,35,37,A
185.0619,34,33.5,35,36,A
186.9503,35,33,34,36,A
188.8387,33,32.5,33,34,A
190.7271,32,31.5,33,34,A
192.6155,31,31,31.5,33,A
194.5039,30,30.5,30,33,A
196.3923,29,30.5,29,32,A
198.2806,28,30,27.5,32,A
200.169,26,28,27,30,A
202.0574,26,27,26,29,A
203.9458,24,26.5,24.5,28,A
205.8342,23,25.5,23.5,26,A
207.7226,22,24,22,25,A
209.611,21,23,20.5,24,A
211.4994,19,22.5,19.5,22,A
213.3877,18,21.5,18.5,21,A
215.2761,17,20,17.5,20,A
217.1645,16,19,16.5,19,A
219.0529,15,18,15,18,A
220.9413,14,16.5,13.5,17,A
222.8297,13,15.5,13,15,A
224.7181,12,14.5,12.5,14,A
226.6065,11,13.5,11.5,14,A
228.4948,10,13,10.5,12,A
230.3832,9,12.5,9.5,11,A
232.2716,9,11,8.5,10,A
234.16,8,10.5,8,9,A
236.0484,7,10,7.5,8,A
237.9368,6,8.5,6.5,8,A
239.8252,6,7.5,6,8,A
241.7135,5,7,6,7,A
243.6019,4,7,5.5,7,A
245.4903,4,6.5,5,6,A
247.3787,3,5.5,4.5,6,A
249.2671,3,5,3.5,5,A
251.1555,3,4.5,3,5,A
253.0439,2,4,3,5,A
254.9323,2,4,3,4,A
256.8206,2,4,3,4,A
258.709,2,3.5,3,4,A
260.5974,2,3,3,3,A
262.4858,2,3,3,3,A
264.3742,2,3,3,3,A
266.2626,2,3,3,3,A
268.151,2,2.5,3,3,A
270.0394,2,2,3,3,A
271.9277,2,2,3,3,A
273.8161,2,2,3,2,A
275.7045,2,2,3,2,A
277.5929,2,1.5,3,2,A
279.4813,2,1,3,2,A
281.3697,2,1,3,2,A
283.2581,2,1,3,2,A
285.1465,2,1,3,2,A
287.0349,2,1,3,2,A
288.9232,2,1,3,2,A
290.8116,2,1,3,2,A
292.7,2,1,3,2,A
294.5884,2,1,3,2,A
296.4768,2,1,3,2,A
298.3652,2,1,3,2,A
300.2535,2,1,3,2,A
302.1419,2,1,3,2,A
304.0303,2,1,3,2,A
305.9187,2,1,3,2,A
307.8071,2,1,3,2,A
309.6955,2,1,3,2,A
311.5839,2,1,3,2,A
313.4723,2,1,3,2,A
315.3607,2,1,3,2,A
317.249,2,1,3,2,A
319.1374,2,1,3,2,A
321.0258,2,1,3,2,A
322.9142,2,1,3,2,A
0,2,1,3,2,B
1.8884,2,1,3,2,B
3.7768,2,1,3,2,B
5.6652,2,1,3,2,B
7.5535,2,1,3,2,B
9.4419,2,1,3,2,B
11.3303,2,1,3,2,B
13.2187,2,1,3,2,B
15.1071,2,1,3,2,B
16.9955,2,1,3,2,B
18.8839,2,1,3,2,B
20.7723,2,1,3,2,B
22.6606,2,1,3,2,B
24.549,2,1,3,2,B
26.4374,2,1,3,2,B
28.3258,2,1,3,2,B
30.2142,2,1,3,2,B
32.1026,2,1,3,2,B
33.991,2,1,3,2,B
35.8794,2,1,3,2,B
37.7677,2,1,3,2,B
39.6561,2,1,3,2,B
41.5445,2,1,3,2,B
43.4329,2,1,3,2,B
45.3213,2,1,3,2,B
47.2097,2,1,3,2,B
49.0981,2,1,3,2,B
50.9865,2,1,3,2,B
52.8748,2,1,3,2,B
54.7632,2,1,3,3,B
56.6516,2,1,3,3,B
58.54,2,1,3,3,B
60.4284,2,1,3,3,B
62.3168,2,1,3,3,B
64.2052,3,1.5,3,3,B
66.0936,3,2,3,3,B
67.9819,3,2,3,3,B
69.8703,3,2,4,4,B
71.7587,4,2.5,4,4,B
73.6471,4,3,5,4,B
75.5355,5,3,5,4,B
77.4239,4,3.5,5,4,B
79.3123,4,4,6,5,B
81.2006,5,4,5,5,B
83.089,5,4.5,6,5,B
84.9774,6,5.5,6,6,B
86.8658,6,6,6,6,B
88.7542,7,6.5,7,7,B
90.6426,7,7.5,7,7,B
92.531,8,8.5,8,8,B
94.4194,8,8.5,9,8,B
96.3077,9,8.5,10,9,B
98.1961,10,9,10,10,B
100.0845,11,10,11,10,B
101.9729,11,11,12,12,B
103.8613,13,12,13,12,B
105.7497,13,13,13,13,B
107.6381,15,13.5,15,14,B
109.5265,16,14.5,16,15,B
111.4148,18,15.5,18,17,B
113.3032,18,16.5,18,18,B
115.1916,20,17.5,19,18,B
117.08,21,18.5,21,20,B
118.9684,22,19.5,22,20,B
120.8568,23,20.5,23,22,B
122.7452,26,21.5,25,23,B
124.6336,27,23,26,25,B
126.5219,27,24.5,27,26,B
128.4103,29,26,28,27,B
130.2987,30,27,30,27,B
132.1871,32,27.5,31,29,B
134.0755,33,28,32,30,B
135.9639,34,29,33,31,B
137.8523,34,29.5,34,33,B
139.7406,36,30,35,32,B
141.629,37,32,35,34,B
143.5174,38,32.5,37,35,B
145.4058,38,32.5,37,35,B
147.2942,39,33.5,38,36,B
