Add_ATP,Wait
31.25,36.5
32.247,37.753
33,37.244
33.4821,38.2411
35.2381,39.2381
36,40.2351
36,40.7679
35.5417,40
33.5476,40
32.4464,40.2232
34.4405,41.4405
36,43.2173
36.2143,44.4286
36.7887,46.4226
36,48.2083
36.2054,49
36.7976,49.6071
36.1994,51.8006
36.6071,50.8036
35,49.8065
34.8095,49.381
34.375,50.625
36,49.1845
36,49.8185
36.1786,49.1786
37,49.4732
37.1726,46.8274
38,46
38,46
37.6726,46
36.3214,46.3214
38.3155,48.1577
40.1548,49
40.3929,49
37.4464,48.7024
40,47.1458
40,48
40.5595,48.4196
43.5893,50.7262
41.8036,48.8661
46.4762,48.2619
43,50
43.125,50
44,49.878
44.3571,48.881
47.2321,48.1161
49.1131,49.1131
50,49.8899
49.8929,49.1071
49.4167,50
52.8988,50.1012
52.0982,51
53.0952,50.9048
53.9077,50.1845
53.2679,51.9107
55.8274,51.0863
54.1667,52
56,51.9196
56.3869,51.1548
61.0744,53.0744
61.7143,53.9286
57.8631,52.9315
56.0655,52.0655
57.125,53
59.119,53
61.2262,53.0565
64.9464,53.9464
64,53
64,53
64.1786,53.0446
68,53.9583
67.8452,53.0387
64.1071,53.9643
67.0655,52.9673
69,52.0893
68.9196,54.9732
65.9524,53.9762
64.0625,52.9792
67.0893,52
71.9702,52.0446
69.9881,55.0119
69.0446,55.9911
74.006,55.0238
75.0089,58.994
78,57
76.006,56.003
76,56.994
71.0446,58.9821
75.9405,59
71.0744,59.9851
71,60
72.9583,60.9792
73,60.0238
70.0804,62.9196
71.9405,63
72,63
71.0357,60.1071
70.0387,61.9226
65.2083,61.0417
65,61
63.0952,63.8571
60.1518,62.1012
61.8929,60.1071
60.1131,59.0565
57.1786,58.0595
55.125,57.0625
55.9345,55.131
56.9315,55.9315
53.2857,54.1429
53.9256,54.9256
54.9226,54.0774
53.1607,53.0804
52.0833,55.75
52.9137,56
52.0893,57.8214
52,58
50.1905,58.9048
47.2946,61.7054
49.6964,60.2024
49.1042,58.2083
49,58
43.6607,55.3304
44.7738,52.3393
46.7679,51.1161
42.5952,49.2381
40.244,50.756
40.875,49.25
40.128,48.128
42.6071,47.131
42.1339,47
42.8631,47.8631
42.1399,47.1399
41.1429,47.8571
41,48.8542
41.8512,48.1488
42.8482,47.1518
39.619,46.1548
38.1577,46
39.6786,43.4821
38.3274,44.6726
38.8333,43.3333
37.3393,44.6607
38.6548,47.4821
39.8244,46.3512
40,47.6429
42.4554,46.3631
41.369,45.1845
41,45
41.8095,43.381
37.9673,45.4196
37.8036,46
38.8006,46.8006
38.2024,46.2024
37.2054,49.1786
37,46.0417
34.6339,43.4226
34.7857,44.5714
35,44.2173
33.4405,44.7798
33,44.2232
33.7738,41.6786
31.6875,41
31,41
30.2351,41
29.2381,37.9524
26.7232,37
26,36.244
26,34.494
26,33.25
