Experiment,Distance,Control,Add_ATP,Wait
DG,0,32,31.25,36.5
DG,1.8884,32,32.247,37.753
DG,3.7768,32.7321,33,37.244
DG,5.6652,35.2411,33.4821,38.2411
DG,7.5535,36.7143,35.2381,39.2381
DG,9.4419,39.4702,36,40.2351
DG,11.3303,40.7679,36,40.7679
DG,13.2187,40.4583,35.5417,40
DG,15.1071,42,33.5476,40
DG,16.9955,42,32.4464,40.2232
DG,18.8839,42.2202,34.4405,41.4405
DG,20.7723,43.2173,36,43.2173
DG,22.6606,44.6429,36.2143,44.4286
DG,24.549,47.6339,36.7887,46.4226
DG,26.4374,49.5833,36,48.2083
DG,28.3258,47.5893,36.2054,49
DG,30.2142,46.4048,36.7976,49.6071
DG,32.1026,47.6012,36.1994,51.8006
DG,33.991,46.1964,36.6071,50.8036
DG,35.8794,46.6131,35,49.8065
DG,37.7677,45,34.8095,49.381
DG,39.6561,45.1875,34.375,50.625
DG,41.5445,45.631,36,49.1845
DG,43.4329,44,36,49.8185
DG,45.3213,44,36.1786,49.1786
DG,47.2097,44.1756,37,49.4732
DG,49.0981,44.8274,37.1726,46.8274
DG,50.9865,44,38,46
DG,52.8748,43.8333,38,46
DG,54.7632,42.8363,37.6726,46
DG,56.6516,42.4821,36.3214,46.3214
DG,58.54,44.8423,38.3155,48.1577
DG,60.4284,44.4643,40.1548,49
DG,62.3168,46.5446,40.3929,49
DG,64.2052,44,37.4464,48.7024
DG,66.0936,44.2917,40,47.1458
DG,67.9819,46.1429,40,48
DG,69.8703,47.4196,40.5595,48.4196
DG,71.7587,49.7262,43.5893,50.7262
DG,73.6471,47.7321,41.8036,48.8661
DG,75.5355,46.131,46.4762,48.2619
DG,77.4239,46.872,43,50
DG,79.3123,46,43.125,50
DG,81.2006,46.122,44,49.878
DG,83.089,47,44.3571,48.881
DG,84.9774,47.1161,47.2321,48.1161
DG,86.8658,48.1131,49.1131,49.1131
DG,88.7542,48.8899,50,49.8899
DG,90.6426,48,49.8929,49.1071
DG,92.531,48.1042,49.4167,50
DG,94.4194,49.1012,52.8988,50.1012
DG,96.3077,50,52.0982,51
DG,98.1961,50.1905,53.0952,50.9048
DG,100.085,52,53.9077,50.1845
DG,101.973,52,53.2679,51.9107
DG,103.861,52,55.8274,51.0863
DG,105.75,52,54.1667,52
DG,107.638,52.0804,56,51.9196
DG,109.526,53,56.3869,51.1548
DG,111.415,53,61.0744,53.0744
DG,113.303,53,61.7143,53.9286
DG,115.192,53,57.8631,52.9315
DG,117.08,53,56.0655,52.0655
DG,118.968,53.125,57.125,53
DG,120.857,54.881,59.119,53
DG,122.745,53.1131,61.2262,53.0565
DG,124.634,54.9464,64.9464,53.9464
DG,126.522,54.1012,64,53
DG,128.41,56,64,53
DG,130.299,55.9554,64.1786,53.0446
DG,132.187,55,68,53.9583
DG,134.076,55.0387,67.8452,53.0387
DG,135.964,56,64.1071,53.9643
DG,137.852,56.0655,67.0655,52.9673
DG,139.741,57.9405,69,52.0893
DG,141.629,56.0268,68.9196,54.9732
DG,143.517,57.0714,65.9524,53.9762
DG,145.406,59.9583,64.0625,52.9792
DG,147.294,57.9821,67.0893,52
DG,149.183,57.0149,71.9702,52.0446
DG,151.071,57.9762,69.9881,55.0119
DG,152.959,56,69.0446,55.9911
DG,154.848,56.0238,74.006,55.0238
DG,156.736,59.994,75.0089,58.994
DG,158.625,58,78,57
DG,160.513,59.994,76.006,56.003
DG,162.401,60,76,56.994
DG,164.29,60,71.0446,58.9821
DG,166.178,60.9881,75.9405,59
DG,168.066,61.9851,71.0744,59.9851
DG,169.955,62.9821,71,60
DG,171.843,61.0417,72.9583,60.9792
DG,173.732,60.0238,73,60.0238
DG,175.62,61.9464,70.0804,62.9196
DG,177.508,62,71.9405,63
DG,179.397,60.0655,72,63
DG,181.285,60,71.0357,60.1071
DG,183.174,59.0387,70.0387,61.9226
DG,185.062,57.0833,65.2083,61.0417
DG,186.95,56.0446,65,61
DG,188.839,56.9524,63.0952,63.8571
DG,190.727,54.1518,60.1518,62.1012
DG,192.615,54,61.8929,60.1071
DG,194.504,53.0565,60.1131,59.0565
DG,196.392,52.0595,57.1786,58.0595
DG,198.281,51.0625,55.125,57.0625
DG,200.169,51.9345,55.9345,55.131
DG,202.057,52,56.9315,55.9315
DG,203.946,52,53.2857,54.1429
DG,205.834,52.9256,53.9256,54.9256
DG,207.723,53,54.9226,54.0774
DG,209.611,53.9196,53.1607,53.0804
DG,211.499,53.0833,52.0833,55.75
DG,213.388,53,52.9137,56
DG,215.276,54.8214,52.0893,57.8214
DG,217.165,55.9077,52,58
DG,219.053,58.7143,50.1905,58.9048
DG,220.941,57.1964,47.2946,61.7054
DG,222.83,56.1012,49.6964,60.2024
DG,224.718,55.1042,49.1042,58.2083
DG,226.607,54.1071,49,58
DG,228.495,54.8899,43.6607,55.3304
DG,230.383,52.3393,44.7738,52.3393
DG,232.272,52,46.7679,51.1161
DG,234.16,52,42.5952,49.2381
