frame,x,y,mass,size,ecc,signal,raw_mass,ep,frame,particle,filename,channel,pair_id
0,76.7080900751,94.1092577148,95.2028212514,1.22218852364,0.30339485472,15.6421649596,246.0,0.0919425892014,0,0.0,control_series1,0,0
1,77.8435852373,91.072056239,62.020349861,1.34281921517,0.204212961717,7.84791773285,221.0,0.11636643887,1,0.0,control_series1,0,0
4,76.2694497154,90.0721062619,62.2446381608,1.26250857175,0.292303000427,9.21267889287,215.0,0.121346661249,4,0.0,control_series1,0,0
5,77.8283220175,90.0329776916,90.9627624912,1.23362209463,0.260298044981,14.9104819214,256.0,0.0838174625604,5,0.0,control_series1,0,0
6,74.9626262626,91.7525252525,109.025935759,1.24072315179,0.154053535447,16.7393355912,296.0,0.0640819626887,6,0.0,control_series1,0,0
7,74.2313117066,91.0888575458,101.44645074,1.29063022403,0.183371802265,14.0222174507,277.0,0.0725529710483,7,0.0,control_series1,0,0
8,76.0681114551,90.0691434469,69.5903932799,1.27004058832,0.179479913661,10.3416064317,228.0,0.104155743728,8,0.0,control_series1,0,0
13,78.8533685601,87.858652576,79.0971426559,1.26219284556,0.143518518297,11.3891526413,250.0,0.0858495203023,13,0.0,control_series1,0,0
14,77.9334006054,89.8698284561,66.6048577257,1.26387356468,0.127665046575,9.74541308801,228.0,0.0998543045682,14,0.0,control_series1,0,0
16,79.8427787934,85.0158439976,136.566505218,1.26404359724,0.221379026557,20.0563849833,330.0,0.0520633953297,16,0.0,control_series1,0,0
17,79.1368049426,86.1765225066,86.5466667005,1.30211315794,0.184213306729,11.0761400455,273.0,0.0708873410298,17,0.0,control_series1,0,0
18,77.9937388193,85.0134168157,125.410865918,1.24538504079,0.175721288107,19.7426765667,302.0,0.0588861224519,18,0.0,control_series1,0,0
19,75.0259938838,87.1529051988,95.7902541227,1.21093387774,0.19706019498,16.1115106323,260.0,0.077661514147,19,0.0,control_series1,0,0
21,73.6430678466,88.1799410029,62.1252808383,1.24564136848,0.230624121055,9.52954160351,221.0,0.107399198608,21,0.0,control_series1,0,0
22,72.9955257271,88.9977628635,101.307673825,1.23429734379,0.157716560364,15.4114582105,274.0,0.0692897423149,22,0.0,control_series1,0,0
23,72.0184842884,87.8558225508,137.159776773,1.24606589786,0.167463980935,21.2965272623,321.0,0.0530700817654,23,0.0,control_series1,0,0
24,75.8533007335,89.0244498778,102.501343307,1.2509165344,0.167370415607,15.5381009414,280.0,0.0675496286427,24,0.0,control_series1,0,0
25,75.0463709677,86.189516129,128.999798355,1.25161186398,0.158076588063,19.2459376579,316.0,0.0539445235126,25,0.0,control_series1,0,0
26,75.9201183432,90.124260355,97.4061387124,1.20771680524,0.167607124201,16.1382951713,255.0,0.0779428416458,26,0.0,control_series1,0,0
27,76.2169014085,89.8478873239,98.2246321569,1.25709255433,0.158749058846,14.111144338,275.0,0.0676874830545,27,0.0,control_series1,0,0
28,73.9937888199,88.0962732919,93.4976212773,1.21711398794,0.211921769599,15.0989947404,244.0,0.0839643078341,28,0.0,control_series1,0,0
29,73.012755102,91.0739795918,81.8324375324,1.30149051131,0.143117001026,11.2728357825,244.0,0.0845769532869,29,0.0,control_series1,0,0
30,72.762254902,93.3284313725,117.076455144,1.27859451022,0.217906816199,16.3562694686,299.0,0.0584953327318,30,0.0,control_series1,0,0
3,76.9335347432,89.0211480363,165.451339461,1.26180228844,0.106160657596,23.4930904974,383.0,0.0486477588165,3,20.0,control_series1,1,0
4,76.1941747573,90.1974110032,290.808247803,1.2385396976,0.215374804029,44.7035332383,577.0,0.0279304484947,4,20.0,control_series1,1,0
5,78.7339181287,90.1228070175,162.935190479,1.24604637913,0.204235763364,24.7737716518,365.0,0.0505214331256,5,20.0,control_series1,1,0
8,76.7730263158,90.2006578947,154.138558429,1.22205607589,0.173260564296,24.844701852,350.0,0.0553366492971,8,20.0,control_series1,1,0
10,75.0265251989,88.8872679045,406.784026084,1.22366150553,0.186146605283,64.7401633024,731.0,0.0208722591038,10,20.0,control_series1,1,0
11,77.0503731343,87.2947761194,286.503566283,1.25260921709,0.168845003778,42.227204732,562.0,0.0283622541651,11,20.0,control_series1,1,0
12,76.9926108374,86.9975369458,204.546042416,1.25159996127,0.234549635915,30.2284791747,459.0,0.0367581636244,12,20.0,control_series1,1,0
13,78.7830769231,87.8661538462,325.717801171,1.23662070548,0.235825396291,50.6115352589,609.0,0.0259918048014,13,20.0,control_series1,1,0
14,77.769726248,89.962962963,314.176746458,1.22507352962,0.22242856014,50.086147986,580.0,0.0273257359475,14,20.0,control_series1,1,0
15,79.066552901,86.8361774744,262.968161796,1.23584131435,0.215735226975,40.3876016411,537.0,0.0300552485288,15,20.0,control_series1,1,0
16,79.9964912281,85.0198830409,373.486551218,1.21202551456,0.230599238323,60.7188662215,696.0,0.0217082811616,16,20.0,control_series1,1,0
17,79.8142664872,86.3135935397,304.450089372,1.25647716202,0.166549858572,44.2538487917,592.0,0.0267664663451,17,20.0,control_series1,1,0
18,78.2548076923,85.1842948718,256.967075624,1.26465765105,0.132475824201,36.2389465623,536.0,0.0300467506918,18,20.0,control_series1,1,0
19,75.8058690745,87.0835214447,197.488374718,1.23438325961,0.196882165346,31.2058379916,419.0,0.0411321946251,19,20.0,control_series1,1,0
20,74.8244274809,89.9465648855,110.46306841,1.26912845012,0.152466367029,16.4429758321,275.0,0.0768157551806,20,20.0,control_series1,1,0
21,73.8823529412,88.9037433155,80.9145335021,1.295818037,0.069014443324,10.817451003,241.0,0.0960058842033,21,20.0,control_series1,1,0
