"","channel","Substrate","Experiment","orig","smooth","lo","hi"
"1","left","DG","Control",0.0027402110056514,0.00273589688610088,0.00260866782695211,0.00287288817840667
"2","left","DG","Add_ATP",0.00246563448845598,0.00247558426180589,0.00234850565774071,0.0026332637826043
"3","left","LG","Control",0.00306410418972033,0.00307034301069574,0.00294608573646458,0.00318187851398693
"4","left","LG","Add_ATP",0.00309245842787659,0.00308264568923265,0.00296650404233825,0.00320190940743534
"5","center","DG","Control",0.00414707827654867,0.0041533446626963,0.00398615693205558,0.00432314492822664
"6","center","DG","Add_ATP",0.00477290977880695,0.00476910253939359,0.00454449146451524,0.00508204004935916
"7","center","LG","Control",0.00395300161733164,0.00395761287780431,0.00383051476661617,0.00406249388987776
"8","center","LG","Add_ATP",0.00388265966185821,0.00389632669000281,0.00378360904441538,0.00403063135399035
"9","right","DG","Control",0.00267516985689885,0.00266920685679897,0.00255740732739016,0.00279858858131195
"10","right","DG","Add_ATP",0.00236709032775057,0.00235793568462686,0.00223067027221242,0.00253848572152169
"11","right","LG","Control",0.00266839323595376,0.00267735100815963,0.0025729388876661,0.0027538184507332
"12","right","LG","Add_ATP",0.00268208891851342,0.00268136931179094,0.00260749861692575,0.00276609326967946
